T,M,J, ,T,M,J,Was,Location,Stadt,Land,Url
28,10,2018,-,28,10,2018,Zeitumstellung auf Winterzeit, ,Berlin,Deutschland, 
31,3,2019,-,31,3,2019,Zeitumstellung auf Sommerzeit, ,Berlin,Deutschland,
27,10,2019,-,27,10,2019,Zeitumstellung auf Winterzeit, ,Berlin,Deutschland, 
29,3,2020,-,29,3,2020,Zeitumstellung auf Sommerzeit, ,Berlin,Deutschland,
25,10,2020,-,25,10,2020,Zeitumstellung auf Winterzeit, ,Berlin,Deutschland,
